*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
!                                                            NO3 (ppm) by soil depth (cm):                                   NH4 (ppm) by soil depth (cm):
!                                                            0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150
@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NI7D    NI8D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NH7D    NH8D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM
 2017 057   108     0     1     4.3  150.4  149.0    1.4    8.58    7.57    8.75    8.36    6.66    5.96    5.69    5.61    0.84    0.41    0.07    0.02    0.01    0.01    0.00    0.00   15.13   97.39    0.45   13.07    0.00    2.06    0.00
 2017 058   109     0     1     4.3  150.4  149.0    1.4    8.75    7.55    8.71    8.36    6.66    5.97    5.69    5.61    0.85    0.41    0.06    0.02    0.01    0.01    0.00    0.00   15.43   97.45    0.47   13.31    0.00    2.12    0.00
 2017 059   110     0     1     4.3  150.5  149.0    1.4    8.80    7.55    8.69    8.37    6.66    5.97    5.69    5.61    0.85    0.40    0.06    0.02    0.01    0.01    0.00    0.00   15.64   97.49    0.49   13.49    0.00    2.16    0.00
 2017 060   111     0     1     4.3  150.5  149.1    1.4    9.10    7.55    8.66    8.36    6.65    5.96    5.68    5.60    0.85    0.40    0.06    0.02    0.01    0.01    0.00    0.00   15.81   97.53    0.51   13.63    0.00    2.19    0.00
 2017 061   112     0     1     4.3  150.5  149.1    1.4    6.06    7.84    9.50    8.41    6.64    5.95    5.68    5.60    0.85    0.40    0.06    0.02    0.01    0.01    0.00    0.00   15.96   97.57    0.51   13.75    0.00    2.22    0.00
 2017 062   113     0     1     4.3  150.5  149.1    1.4    6.41    7.79    9.44    8.45    6.63    5.94    5.67    5.59    0.85    0.40    0.06    0.02    0.01    0.01    0.00    0.00   16.07   97.58    0.51   13.83    0.00    2.24    0.00
 2017 063   114     0     1     4.3  150.5  149.1    1.4    6.58    7.73    9.35    8.43    6.67    5.98    5.67    5.59    0.85    0.40    0.06    0.02    0.01    0.01    0.00    0.00   16.19   97.61    0.51   13.93    0.00    2.27    0.00
 2017 064   115     0     1     4.3  150.6  149.2    1.4    6.64    7.68    9.27    8.42    6.67    5.99    5.71    5.59    0.86    0.41    0.06    0.02    0.01    0.01    0.00    0.00   16.31   97.63    0.51   14.02    0.00    2.29    0.00
 2017 065   116     0     1     4.3  150.6  149.2    1.4    6.72    7.65    9.25    8.46    6.67    5.99    5.71    5.59    0.86    0.41    0.06    0.02    0.01    0.01    0.00    0.00   16.43   97.65    0.51   14.11    0.00    2.32    0.00
 2017 066   117     0     1     4.3  150.6  149.2    1.4    7.02    7.60    9.16    8.43    6.67    5.99    5.73    5.59    0.86    0.41    0.06    0.02    0.01    0.01    0.00    0.00   16.53   97.67    0.51   14.19    0.00    2.34    0.00
 2017 067   118     0     1     4.3  150.6  149.2    1.4    6.06    7.80    9.38    8.47    6.67    5.98    5.72    5.58    0.85    0.41    0.06    0.02    0.01    0.01    0.00    0.00   16.63   97.70    0.51   14.27    0.00    2.36    0.00
 2017 068   119     0     1     4.3  150.7  149.2    1.4    6.45    7.75    9.32    8.49    6.66    5.97    5.72    5.58    0.86    0.41    0.06    0.02    0.01    0.01    0.00    0.00   16.74   97.72    0.51   14.36    0.00    2.38    0.00
 2017 069   120     0     1     4.3  150.7  149.3    1.4    6.79    7.69    9.22    8.46    6.68    5.99    5.73    5.57    0.86    0.41    0.06    0.02    0.01    0.01    0.00    0.00   16.88   97.74    0.51   14.47    0.00    2.41    0.00
 2017 070   121     0     1     4.3  150.7  149.3    1.4    7.13    7.65    9.17    8.48    6.67    5.99    5.72    5.57    0.86    0.41    0.06    0.02    0.01    0.01    0.00    0.00   17.06   97.78    0.51   14.61    0.00    2.45    0.00
 2017 071   122     0     1     4.3  150.8  149.3    1.4    7.46    7.60    9.08    8.45    6.68    6.00    5.73    5.57    0.86    0.41    0.06    0.02    0.01    0.01    0.00    0.00   17.24   97.81    0.51   14.75    0.00    2.49    0.00
 2017 072   123     0     1     4.3  150.8  149.4    1.4    7.52    7.56    9.02    8.43    6.68    6.00    5.73    5.61    0.86    0.41    0.06    0.02    0.01    0.01    0.00    0.00   17.38   97.84    0.52   14.86    0.00    2.52    0.00
 2017 073   124     0     1     4.3  150.8  149.4    1.4    7.61    7.52    8.96    8.42    6.68    6.00    5.73    5.65    0.86    0.41    0.06    0.02    0.01    0.01    0.00    0.00   17.48   97.87    0.52   14.94    0.00    2.54    0.00
 2017 074   125     0     1     4.5  150.7  149.3    1.4    7.72    7.49    8.90    8.40    6.68    6.00    5.73    5.65    0.85    0.41    0.06    0.02    0.01    0.01    0.00    0.00   17.57   97.89    0.52   15.01    0.00    2.56    0.00
 2017 075   126     0     1     4.7  150.5  149.1    1.4    7.81    7.45    8.85    8.39    6.68    6.00    5.72    5.65    0.85    0.41    0.06    0.02    0.01    0.01    0.00    0.00   17.63   97.91    0.52   15.06    0.00    2.57    0.00
 2017 076   127     0     1     4.8  150.4  149.0    1.4    7.90    7.42    8.80    8.38    6.68    6.00    5.72    5.65    0.84    0.41    0.06    0.02    0.01    0.01    0.00    0.00   17.69   97.93    0.52   15.10    0.00    2.59    0.00
 2017 077   128     0     1     4.8  150.4  149.0    1.4    6.38    7.94    8.94    8.41    6.69    5.99    5.72    5.65    0.84    0.41    0.06    0.02    0.01    0.01    0.00    0.00   17.74   97.95    0.52   15.15    0.00    2.60    0.00
 2017 078   129     0     1     4.8  150.4  149.0    1.4    6.54    7.95    8.92    8.43    6.68    5.99    5.72    5.64    0.84    0.41    0.06    0.02    0.01    0.00    0.00    0.00   17.79   97.96    0.52   15.18    0.00    2.61    0.00
 2017 079   130     0     1     4.8  150.4  149.1    1.4    6.94    7.87    8.83    8.39    6.69    6.00    5.72    5.64    0.84    0.41    0.06    0.02    0.01    0.00    0.00    0.00   17.85   97.98    0.52   15.23    0.00    2.62    0.00
 2017 080   131     0     1     4.8  150.5  149.1    1.4    7.03    7.94    8.80    8.40    6.68    5.99    5.72    5.64    0.84    0.41    0.06    0.02    0.01    0.00    0.00    0.00   17.94   98.00    0.52   15.29    0.00    2.64    0.00
 2017 081   132     0     1     4.8  150.5  149.1    1.4    7.43    7.87    8.72    8.36    6.69    6.00    5.72    5.64    0.84    0.41    0.06    0.02    0.01    0.00    0.00    0.00   18.04   98.01    0.52   15.37    0.00    2.67    0.00
 2017 082   133     0     1     4.8  150.5  149.1    1.4    7.87    7.80    8.65    8.33    6.69    6.00    5.72    5.65    0.84    0.41    0.06    0.02    0.01    0.00    0.00    0.00   18.19   98.04    0.52   15.49    0.00    2.70    0.00
 2017 083   134     0     1     4.8  150.5  149.1    1.4    8.27    7.74    8.58    8.30    6.69    6.00    5.72    5.65    0.84    0.42    0.06    0.02    0.01    0.00    0.00    0.00   18.36   98.08    0.52   15.63    0.00    2.73    0.00
 2017 084   135     0     1     4.9  150.5  149.1    1.4    8.54    7.70    8.53    8.28    6.69    6.00    5.72    5.65    0.84    0.42    0.06    0.02    0.01    0.01    0.00    0.00   18.52   98.12    0.52   15.75    0.00    2.77    0.00
 2017 085   136     0     1     4.9  150.6  149.2    1.4    7.14    8.13    8.79    8.30    6.67    5.99    5.71    5.64    0.83    0.42    0.06    0.02    0.01    0.01    0.00    0.00   18.71   98.16    0.52   15.90    0.00    2.80    0.00
 2017 086   137     0     1     4.9  150.5  149.1    1.4    7.29    8.11    8.80    8.31    6.66    5.98    5.70    5.64    0.84    0.42    0.06    0.02    0.01    0.01    0.00    0.00   18.88   98.19    0.62   16.04    0.00    2.84    0.00
 2017 087   138     0     1     4.9  150.4  149.0    1.4    7.71    7.98    8.70    8.28    6.69    6.00    5.70    5.63    0.84    0.42    0.06    0.02    0.01    0.01    0.00    0.00   19.05   98.22    0.73   16.17    0.00    2.88    0.00
 2017 088   139     0     1     4.9  150.4  149.0    1.4    8.18    7.87    8.61    8.27    6.70    6.01    5.69    5.62    0.84    0.42    0.06    0.02    0.01    0.01    0.00    0.00   19.25   98.26    0.82   16.33    0.00    2.92    0.00
 2017 089   140     0     1     4.9  150.3  148.9    1.4    8.64    7.78    8.52    8.27    6.70    6.01    5.68    5.61    0.84    0.43    0.06    0.02    0.01    0.01    0.00    0.00   19.50   98.31    0.90   16.52    0.00    2.98    0.00
 2017 090   141     0     1     4.9  150.3  148.9    1.4    4.47    6.70    8.88    9.94    6.79    6.00    5.67    5.61    0.83    0.43    0.06    0.02    0.01    0.01    0.00    0.00   19.76   98.37    0.97   16.73    0.00    3.03    0.00
 2017 091   142     0     1     4.9  150.2  148.8    1.4    2.58    5.19    7.92    9.66    9.35    6.09    5.67    5.60    0.84    0.43    0.06    0.02    0.01    0.01    0.00    0.00   19.91   98.39    1.09   16.84    0.00    3.07    0.00
 2017 092   143     0     1     5.2  149.8  148.4    1.5    2.86    5.14    7.78    9.50    9.18    6.07    5.72    5.65    0.85    0.44    0.06    0.02    0.01    0.01    0.00    0.00   20.05   98.41    1.19   16.94    0.00    3.11    0.00
 2017 093   144     0     1     5.2  149.8  148.3    1.5    3.13    5.12    7.70    9.45    9.12    6.13    5.72    5.65    0.86    0.45    0.06    0.02    0.01    0.01    0.00    0.00   20.18   98.43    1.27   17.03    0.00    3.15    0.00
 2017 094   145     0     1     5.2  149.7  148.3    1.5    3.47    5.11    7.61    9.40    9.06    6.17    5.71    5.64    0.87    0.46    0.06    0.02    0.01    0.01    0.00    0.00   20.33   98.46    1.35   17.13    0.00    3.20    0.00
 2017 095   146     0     1     5.2  149.6  148.1    1.5    3.37    5.21    7.60    9.32    8.98    6.21    5.71    5.63    0.87    0.46    0.06    0.02    0.01    0.01    0.00    0.00   20.47   98.49    1.51   17.23    0.00    3.24    0.00
 2017 096   147     0     1     5.2  149.5  148.0    1.5    3.07    5.00    7.62    9.47    8.92    6.25    5.72    5.62    0.88    0.47    0.06    0.02    0.01    0.01    0.00    0.00   20.61   98.51    1.68   17.33    0.00    3.29    0.00
 2017 097   148     0     1     5.2  149.3  147.8    1.6    2.38    4.47    7.18    9.16    9.33    6.62    5.74    5.62    0.89    0.48    0.06    0.02    0.01    0.01    0.00    0.00   20.76   98.53    1.87   17.43    0.00    3.33    0.00
 2017 098   149     0     1     6.2  148.2  146.6    1.6    2.57    4.43    7.06    8.99    9.13    6.57    5.72    5.64    0.91    0.49    0.06    0.02    0.01    0.01    0.00    0.00   20.91   98.55    2.08   17.53    0.00    3.38    0.00
 2017 099   150     0     1     7.3  147.0  145.4    1.6    2.85    4.42    6.95    8.83    8.93    6.51    5.70    5.64    0.92    0.50    0.06    0.02    0.01    0.01    0.00    0.00   21.06   98.58    2.26   17.63    0.00    3.43    0.00
 2017 100   151     0     1     8.2  145.9  144.3    1.6    3.15    4.41    6.85    8.68    8.74    6.46    5.69    5.63    0.92    0.51    0.06    0.02    0.01    0.01    0.00    0.00   21.22   98.61    2.43   17.74    0.00    3.48    0.00
 2017 101   152     0     1     8.2  145.9  144.2    1.6    3.53    4.43    6.78    8.60    8.65    6.48    5.70    5.62    0.92    0.52    0.06    0.02    0.01    0.01    0.00    0.00   21.43   98.66    2.58   17.88    0.00    3.55    0.00
 2017 102   153     0     1     8.2  145.8  144.1    1.7    3.72    4.55    6.72    8.53    8.56    6.49    5.72    5.61    0.94    0.54    0.06    0.02    0.01    0.01    0.00    0.00   21.66   98.71    2.75   18.03    0.00    3.62    0.00
 2017 103   154     0     1     9.0  144.9  143.2    1.7    4.06    4.54    6.63    8.39    8.39    6.44    5.70    5.62    0.95    0.55    0.06    0.02    0.01    0.01    0.00    0.00   21.93   98.76    2.94   18.22    0.00    3.71    0.00
 2017 104   155     0     1     9.0  144.8  143.1    1.7    3.64    4.73    6.68    8.33    8.31    6.45    5.71    5.62    0.96    0.56    0.06    0.02    0.01    0.01    0.00    0.00   22.22   98.82    3.11   18.42    0.00    3.80    0.00
 2017 105   156     0     1     9.8  143.9  142.1    1.8    3.98    4.70    6.59    8.20    8.15    6.40    5.69    5.62    0.97    0.58    0.06    0.02    0.01    0.01    0.00    0.00   22.46   98.87    3.30   18.58    0.00    3.88    0.00
 2017 106   157     0     1     9.8  143.8  142.0    1.8    3.42    4.62    6.86    8.17    8.07    6.41    5.71    5.61    0.98    0.59    0.07    0.02    0.01    0.01    0.00    0.00   22.72   98.92    3.47   18.76    0.00    3.97    0.00
 2017 107   158     0     1     9.8  143.7  141.9    1.8    2.30    3.90    6.26    8.20    8.87    6.64    5.73    5.60    0.99    0.61    0.07    0.02    0.01    0.01    0.00    0.00   22.95   98.97    3.67   18.91    0.00    4.04    0.00
 2017 108   159     0     1    10.9  142.5  140.6    1.9    2.66    3.89    6.15    8.04    8.64    6.56    5.71    5.61    1.01    0.63    0.07    0.02    0.01    0.01    0.00    0.00   23.21   99.01    3.91   19.07    0.00    4.13    0.00
 2017 109   160     0     1    11.9  141.3  139.4    1.9    3.01    3.89    6.05    7.88    8.44    6.49    5.68    5.60    1.01    0.65    0.07    0.02    0.01    0.01    0.00    0.00   23.52   99.08    4.15   19.28    0.00    4.25    0.00
 2017 110   161     0     1    12.8  140.3  138.4    1.9    3.40    3.91    5.96    7.74    8.24    6.43    5.66    5.59    1.01    0.67    0.07    0.03    0.01    0.01    0.00    0.00   23.89   99.18    4.37   19.52    0.00    4.37    0.00
 2017 111   162     0     1    12.8  140.3  138.3    2.0    3.74    4.00    5.90    7.67    8.15    6.43    5.68    5.58    1.00    0.68    0.07    0.03    0.01    0.01    0.01    0.00   24.32   99.31    4.57   19.80    0.00    4.52    0.00
 2017 112   163     0     1    12.8  140.2  138.2    2.0    4.07    4.03    5.84    7.60    8.05    6.44    5.69    5.58    1.01    0.70    0.07    0.03    0.01    0.01    0.01    0.00   24.67   99.40    4.78   20.03    0.00    4.64    0.00
 2017 113   164     0     1    13.5  139.4  137.4    2.0    4.41    4.05    5.77    7.48    7.89    6.38    5.67    5.59    1.01    0.71    0.07    0.03    0.01    0.01    0.01    0.00   25.00   99.50    4.96   20.24    0.00    4.76    0.00
 2017 114   165     0     1    14.3  138.6  136.6    2.0    4.74    4.07    5.71    7.38    7.74    6.33    5.65    5.58    1.01    0.71    0.07    0.03    0.01    0.01    0.01    0.00   25.30   99.60    5.11   20.44    0.00    4.86    0.00
 2017 115   166     0     1    14.3  138.6  136.6    2.0    5.12    4.10    5.67    7.32    7.66    6.33    5.67    5.57    0.99    0.71    0.07    0.03    0.01    0.01    0.01    0.00   25.60   99.70    5.24   20.64    0.00    4.96    0.00
 2017 116   167     0     1    14.8  138.0  136.0    2.0    5.57    4.14    5.62    7.23    7.53    6.28    5.65    5.58    0.97    0.72    0.07    0.03    0.01    0.01    0.01    0.00   25.89   99.82    5.34   20.83    0.00    5.06    0.00
 2017 117   168     0     1    14.8  138.0  136.1    1.9    6.11    4.20    5.58    7.17    7.45    6.27    5.66    5.57    0.86    0.71    0.07    0.03    0.01    0.01    0.01    0.00   26.20  100.00    5.44   21.03    0.00    5.17    0.00
 2017 118   169     0     1    14.8  138.0  136.1    1.9    4.64    4.76    5.83    7.13    7.38    6.27    5.67    5.56    0.86    0.71    0.07    0.03    0.01    0.01    0.01    0.00   26.52  100.12    5.54   21.24    0.00    5.27    0.00
 2017 119   170     0     1    14.8  138.0  136.0    1.9    4.92    4.78    5.80    7.10    7.31    6.27    5.68    5.55    0.87    0.72    0.07    0.03    0.01    0.01    0.01    0.00   26.76  100.18    5.69   21.40    0.00    5.36    0.00
 2017 120   171     0     1    14.8  137.9  135.9    2.0    5.24    4.74    5.76    7.06    7.25    6.27    5.69    5.54    0.88    0.74    0.07    0.03    0.01    0.01    0.01    0.00   26.98  100.24    5.84   21.54    0.00    5.44    0.00
 2017 121   172     0     1    14.8  137.8  135.9    2.0    2.24    3.42    5.05    6.85    7.82    7.23    5.75    5.54    0.88    0.74    0.07    0.03    0.01    0.01    0.01    0.00   27.20  100.30    5.97   21.68    0.00    5.52    0.00
 2017 122   173     0     1    14.8  137.7  135.7    2.0    1.76    3.09    4.79    6.57    7.58    7.64    5.84    5.55    0.89    0.76    0.07    0.03    0.01    0.01    0.01    0.00   27.35  100.34    6.18   21.77    0.00    5.58    0.00
 2017 123   174     0     1    14.8  137.6  135.5    2.0    1.64    2.94    4.66    6.43    7.46    7.76    5.92    5.56    0.90    0.77    0.07    0.03    0.02    0.01    0.01    0.00   27.48  100.36    6.38   21.84    0.00    5.64    0.00
 2017 124   175     0     1    14.8  137.4  135.4    2.0    1.86    2.94    4.61    6.38    7.38    7.68    5.99    5.57    0.91    0.78    0.07    0.03    0.02    0.01    0.01    0.00   27.59  100.39    6.57   21.90    0.00    5.68    0.00
 2017 125   176     0     1    14.8  137.3  135.2    2.1    2.07    2.95    4.57    6.33    7.31    7.60    6.06    5.59    0.92    0.78    0.07    0.03    0.02    0.01    0.01    0.00   27.70  100.42    6.76   21.97    0.00    5.73    0.00
 2017 126   177     0     1    16.4  135.6  133.5    2.1    2.32    2.95    4.51    6.22    7.14    7.44    5.99    5.57    0.92    0.79    0.07    0.03    0.02    0.01    0.01    0.00   27.83  100.46    6.94   22.04    0.00    5.79    0.00
 2017 127   178     0     1    16.4  135.5  133.4    2.1    2.10    3.01    4.59    6.19    7.06    7.37    6.04    5.58    0.92    0.80    0.08    0.03    0.02    0.01    0.01    0.00   27.98  100.51    7.11   22.13    0.00    5.85    0.00
 2017 128   179     0     1    17.9  133.8  131.7    2.1    2.36    3.01    4.53    6.08    6.90    7.22    5.97    5.56    0.93    0.81    0.08    0.03    0.02    0.01    0.01    0.00   28.11  100.54    7.31   22.20    0.00    5.91    0.00
 2017 129   180     0     1    19.3  132.3  130.2    2.1    2.62    3.01    4.46    5.98    6.76    7.08    5.91    5.53    0.93    0.82    0.08    0.03    0.02    0.01    0.01    0.00   28.27  100.59    7.48   22.29    0.00    5.98    0.00
 2017 130   181     0     1    19.3  132.2  130.1    2.1    2.27    3.04    4.53    6.02    6.70    7.02    5.95    5.55    0.93    0.83    0.08    0.03    0.02    0.01    0.01    0.00   28.45  100.65    7.65   22.40    0.00    6.05    0.00
 2017 131   182     0     1    20.7  130.7  128.6    2.2    2.53    3.03    4.47    5.92    6.56    6.88    5.89    5.52    0.94    0.84    0.08    0.03    0.02    0.01    0.01    0.00   28.61  100.69    7.84   22.49    0.00    6.12    0.00
 2017 132   183     0     1    20.7  130.6  128.4    2.2    1.70    2.67    4.18    5.85    6.98    7.00    5.93    5.54    0.95    0.85    0.08    0.03    0.02    0.01    0.01    0.00   28.79  100.75    8.01   22.59    0.00    6.20    0.00
 2017 133   184     0     1    22.2  129.0  126.7    2.2    1.94    2.67    4.12    5.74    6.81    6.85    5.86    5.51    0.96    0.86    0.08    0.03    0.02    0.01    0.01    0.00   28.95  100.79    8.22   22.68    0.00    6.27    0.00
 2017 134   185     0     1    23.6  127.5  125.2    2.3    2.22    2.68    4.06    5.63    6.64    6.72    5.80    5.48    0.96    0.87    0.08    0.03    0.02    0.01    0.01    0.00   29.15  100.86    8.41   22.79    0.00    6.36    0.00
 2017 135   186     0     1    24.9  126.1  123.9    2.3    2.53    2.71    4.01    5.54    6.49    6.59    5.74    5.46    0.96    0.88    0.08    0.03    0.02    0.01    0.01    0.00   29.38  100.95    8.60   22.92    0.00    6.46    0.00
 2017 136   187     0     1    26.0  125.0  122.7    2.3    2.91    2.74    3.97    5.46    6.35    6.47    5.68    5.45    0.95    0.89    0.08    0.03    0.02    0.01    0.01    0.00   29.67  101.08    8.77   23.08    0.00    6.59    0.00
 2017 137   188     0     1    27.0  124.0  121.8    2.2    3.43    2.80    3.93    5.38    6.22    6.36    5.63    5.43    0.80    0.89    0.08    0.03    0.02    0.01    0.01    0.00   30.01  101.32    8.93   23.27    0.00    6.74    0.00
 2017 138   189     0     1    27.9  123.1  121.0    2.1    4.00    2.87    3.89    5.31    6.10    6.26    5.58    5.42    0.66    0.88    0.08    0.03    0.02    0.01    0.01    0.00   30.40  101.60    9.10   23.49    0.00    6.91    0.00
 2017 139   190     0     1    27.9  123.1  121.2    1.9    4.57    2.97    3.87    5.27    6.04    6.21    5.59    5.42    0.53    0.86    0.08    0.03    0.02    0.01    0.01    0.00   30.85  101.92    9.25   23.74    0.00    7.11    0.00
 2017 140   191     0     1    27.9  123.2  121.3    1.9    5.00    3.09    3.85    5.23    5.98    6.17    5.61    5.43    0.54    0.84    0.08    0.03    0.02    0.01    0.01    0.00   31.36  102.18    9.40   24.03    0.00    7.33    0.00
 2017 141   192     0     1    27.9  123.3  121.4    1.9    4.90    3.44    3.84    5.20    5.92    6.13    5.62    5.43    0.54    0.81    0.08    0.03    0.02    0.01    0.01    0.00   31.85  102.43    9.53   24.30    0.00    7.55    0.00
 2017 142   193     0     1    27.9  123.3  121.4    1.9    3.47    3.71    4.23    5.19    5.87    6.09    5.63    5.44    0.55    0.80    0.08    0.03    0.02    0.01    0.01    0.00   32.17  102.58    9.66   24.48    0.00    7.69    0.00
 2017 143   194     0     1    28.8  122.3  120.4    1.9    3.82    3.66    4.17    5.12    5.77    6.00    5.58    5.42    0.57    0.82    0.08    0.03    0.02    0.01    0.01    0.00   32.38  102.65    9.83   24.59    0.00    7.79    0.00
 2017 144   195     0     1    28.8  122.2  120.3    1.9    4.11    3.64    4.14    5.11    5.72    5.97    5.59    5.43    0.58    0.83    0.08    0.03    0.02    0.01    0.01    0.00   32.57  102.72    9.97   24.69    0.00    7.88    0.00
 2017 145   196     0     1    28.8  122.1  120.2    1.9    3.09    3.57    4.29    5.38    5.70    5.93    5.60    5.43    0.59    0.83    0.08    0.03    0.02    0.01    0.01    0.00   32.74  102.78   10.10   24.78    0.00    7.96    0.00
 2017 146   197     0     1    29.9  121.0  119.1    2.0    3.40    3.52    4.22    5.29    5.60    5.85    5.55    5.41    0.61    0.84    0.08    0.03    0.02    0.01    0.01    0.00   32.87  102.83   10.25   24.85    0.00    8.03    0.00
 2017 147   198     0     1    30.8  120.1  118.1    2.0    3.73    3.48    4.16    5.22    5.51    5.77    5.50    5.38    0.62    0.85    0.08    0.03    0.02    0.01    0.01    0.00   33.04  102.89   10.40   24.93    0.00    8.11    0.00
 2017 148   199     0     1    30.8  120.0  118.0    2.0    3.08    3.55    4.26    5.33    5.50    5.74    5.50    5.39    0.62    0.85    0.08    0.03    0.02    0.01    0.01    0.00   33.23  102.97   10.52   25.03    0.00    8.20    0.00
 2017 149   200     0     1    31.7  119.0  117.0    2.0    3.42    3.50    4.19    5.25    5.41    5.67    5.45    5.36    0.64    0.86    0.08    0.03    0.02    0.01    0.01    0.00   33.40  103.03   10.68   25.11    0.00    8.29    0.00
 2017 150   201     0     1    31.7  119.0  116.9    2.0    3.82    3.47    4.14    5.22    5.39    5.64    5.45    5.37    0.64    0.87    0.08    0.03    0.02    0.01    0.01    0.00   33.59  103.11   10.82   25.21    0.00    8.38    0.00
 2017 151   202     0     1    31.7  118.9  116.9    2.0    4.24    3.46    4.10    5.19    5.38    5.61    5.45    5.37    0.64    0.87    0.08    0.03    0.01    0.01    0.01    0.00   33.83  103.22   10.96   25.33    0.00    8.50    0.00
 2017 152   203     0     1    32.4  118.2  116.3    2.0    4.77    3.46    4.05    5.12    5.30    5.55    5.41    5.35    0.55    0.86    0.08    0.03    0.01    0.01    0.01    0.00   34.10  103.43   11.09   25.47    0.00    8.63    0.00
 2017 153   204     0     1    33.0  117.7  115.8    1.9    5.29    3.47    4.00    5.06    5.24    5.49    5.37    5.34    0.47    0.85    0.08    0.03    0.01    0.01    0.01    0.00   34.38  103.63   11.20   25.61    0.00    8.77    0.00
 2017 154   205     0     1    33.5  117.2  115.4    1.8    5.79    3.49    3.96    5.00    5.17    5.44    5.34    5.33    0.40    0.84    0.08    0.03    0.01    0.01    0.01    0.00   34.66  103.84   11.30   25.76    0.00    8.90    0.00
 2017 155   206     0     1    34.0  116.8  115.1    1.7    6.32    3.53    3.92    4.95    5.12    5.39    5.30    5.32    0.34    0.82    0.08    0.03    0.01    0.01    0.01    0.00   34.95  104.05   11.38   25.91    0.00    9.04    0.00
 2017 156   207     0     1    34.0  116.9  115.2    1.7    6.98    3.61    3.92    4.95    5.12    5.35    5.27    5.29    0.28    0.80    0.08    0.03    0.01    0.01    0.01    0.00   35.25  104.27   11.46   26.06    0.00    9.19    0.00
 2017 157   208     0     1    34.0  117.0  115.4    1.6    7.68    3.70    3.93    4.93    5.09    5.30    5.22    5.32    0.23    0.77    0.08    0.03    0.01    0.01    0.01    0.00   35.58  104.51   11.52   26.23    0.00    9.35    0.00
 2017 158   209     0     1    34.1  117.0  115.5    1.5    8.38    3.80    3.94    4.92    5.07    5.25    5.18    5.32    0.19    0.74    0.08    0.03    0.01    0.01    0.01    0.00   35.95  104.77   11.58   26.42    0.00    9.52    0.00
 2017 159   210     0     1    34.1  117.1  115.8    1.2    9.03    4.04    3.95    4.91    5.04    5.20    5.15    5.31    0.15    0.57    0.07    0.03    0.01    0.01    0.01    0.00   36.31  105.22   11.63   26.61    0.00    9.70    0.00
 2017 160   211     0     1    34.1  117.2  116.2    1.0    9.70    4.19    3.96    4.90    5.03    5.17    5.13    5.29    0.13    0.46    0.07    0.03    0.01    0.01    0.01    0.00   36.66  105.58   11.67   26.79    0.00    9.87    0.00
 2017 161   212     0     1    34.1  117.3  116.4    0.9   10.38    4.30    3.97    4.90    5.03    5.14    5.11    5.26    0.12    0.38    0.07    0.03    0.01    0.01    0.01    0.00   36.99  105.86   11.70   26.95    0.00   10.03    0.00
 2017 162   213     0     1    34.1  117.3  116.5    0.8   11.00    4.32    3.98    4.91    5.03    5.12    5.08    5.22    0.11    0.33    0.07    0.03    0.01    0.01    0.00    0.00   37.30  106.10   11.72   27.11    0.00   10.19    0.15
 2017 163   214     0     1    34.1  117.2  116.4    0.8   11.40    4.26    3.95    4.89    5.00    5.10    5.08    5.21    0.10    0.29    0.07    0.03    0.01    0.01    0.00    0.00   37.59  106.31   11.73   27.25    0.00   10.34    0.45
 2017 164   215     0     1    34.1  116.9  116.2    0.7   11.86    4.21    3.95    4.90    5.00    5.07    5.05    5.17    0.10    0.26    0.06    0.03    0.01    0.01    0.00    0.00   37.89  106.52   11.74   27.40    0.00   10.50    0.86
 2017 165   216     0     1    34.1  116.6  115.9    0.7   12.27    4.15    3.96    4.91    4.99    5.04    5.01    5.13    0.09    0.24    0.05    0.03    0.01    0.01    0.00    0.00   38.22  106.77   11.75   27.55    0.00   10.67    1.34
 2017 166   217     0     1    34.1  116.1  115.5    0.6   12.49    4.04    3.94    4.93    5.00    5.02    4.98    5.09    0.08    0.21    0.04    0.03    0.01    0.01    0.00    0.00   38.56  107.01   11.75   27.71    0.00   10.85    2.06
 2017 167   218     0     1    34.1  115.4  114.8    0.5    9.91    5.25    3.91    4.94    5.00    4.99    4.95    5.05    0.08    0.19    0.03    0.02    0.01    0.01    0.00    0.00   38.90  107.26   11.75   27.86    0.00   11.04    2.92
 2017 168   219     0     1    34.1  113.5  113.0    0.5    5.10    4.93    4.89    4.95    4.99    4.98    4.94    5.04    0.10    0.18    0.03    0.02    0.01    0.01    0.00    0.00   39.27  107.47   11.75   28.04    0.00   11.23    5.03
